Offer,Lander,Country,Conversions as Counted for Conversion Cap,Conversion Cap,Visits,Clicks,Conversions,Revenue,Cost,Profit,CPV,CTR,CR,CV,ROI,EPV,EPC,AP,Errors
United Kingdom - ||AV|| [UK] [MOB-TAB-WEB] [950] - Second Fling | DOI | UK (uk-mob),United Kingdom - MOB - (chris on the bottom),United Kingdom,0,600,21,1,0,0,0.0121,-0.0121,0.0006,0.047619,0,0,-1,0,0,0,0
"Global - ||AV || [US, UK, CA, AU] [TAB+MOB] || Spdate | SOI ",United Kingdom - MOB - (jumper_1),United Kingdom,,,21,0,0,0,0.012,-0.012,0.0006,0,0,0,-1,0,0,0,0
Global - CPL POP 4  BADOO (pop),Direct linking,Sri Lanka,,,21,0,0,0,0.0039,-0.0039,0.0002,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Mongolia,,,21,0,0,0,0.015,-0.015,0.0007,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Oman,,,21,0,0,0,0.015,-0.015,0.0007,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Saudi Arabia,,,21,0,0,0,0.012,-0.012,0.0006,0,0,0,-1,0,0,0,0
"Global - ||AV || [US, UK, CA, AU] [TAB+MOB] || Spdate | SOI ",United Kingdom - MOB - (lollipop),United Kingdom,,,20,0,0,0,0.0164,-0.0164,0.0008,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Jordan,,,20,0,0,0,0.0103,-0.0103,0.0005,0,0,0,-1,0,0,0,0
Global - BADOO TOP ROOM,Direct linking,Brazil,,,19,0,0,0,0.0018,-0.0018,0.0001,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Réunion,,,19,0,0,0,0.007,-0.007,0.0004,0,0,0,-1,0,0,0,0
Global - BADOO TOP ROOM,Direct linking,Romania,,,19,0,0,0,0.0015,-0.0015,0.0001,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Tunisia,,,19,0,0,0,0.015,-0.015,0.0008,0,0,0,-1,0,0,0,0
Global - CPL POP 4  BADOO (pop),Direct linking,Turkey,,,19,0,0,0,0.0147,-0.0147,0.0008,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Brunei Darussalam,,,18,0,0,0,0.004,-0.004,0.0002,0,0,0,-1,0,0,0,0
Global - CPL POP 4  BADOO (pop),Direct linking,Argentina,,,17,0,0,0,0.0023,-0.0023,0.0001,0,0,0,-1,0,0,0,0
Global - CPL POP 4  BADOO (pop),Direct linking,Ecuador,,,17,0,0,0,0.0015,-0.0015,0.0001,0,0,0,-1,0,0,0,0
Global - CPL POP 4  BADOO (pop),Direct linking,Netherlands,,,17,0,0,0,0.0053,-0.0053,0.0003,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Philippines,,,16,0,0,0,0.0101,-0.0101,0.0006,0,0,0,-1,0,0,0,0
Global - BADOO Land variation,Direct linking,Uruguay,,,16,0,0,0,0.0011,-0.0011,0.0001,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Malaysia,,,15,0,0,0,0.0085,-0.0085,0.0006,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,,,,14,0,0,0,0.0063,-0.0063,0.0005,0,0,0,-1,0,0,0,0
Global - CPL POP 3  BADOO (pop),Direct linking,China,,,14,0,0,0,0.0058,-0.0058,0.0004,0,0,0,-1,0,0,0,0
Global - BADOO TOP ROOM,Direct linking,Cyprus,,,14,0,0,0,0.0078,-0.0078,0.0006,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Dominican Republic,,,14,0,0,0,0.0093,-0.0093,0.0007,0,0,0,-1,0,0,0,0
Global - CPL POP 4  BADOO (pop),Direct linking,United Kingdom,,,14,0,0,0,0.0063,-0.0063,0.0005,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Greenland,,,14,0,0,0,0.0012,-0.0012,0.0001,0,0,0,-1,0,0,0,0
Global - BADOO FREE TOKENS,Direct linking,Iceland,,,14,0,0,0,0.0089,-0.0089,0.0006,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Mexico,,,14,0,0,0,0.0058,-0.0058,0.0004,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Panama,,,14,0,0,0,0.0086,-0.0086,0.0006,0,0,0,-1,0,0,0,0
Global - BADOO FREE TOKENS,Direct linking,Brazil,,,13,0,0,0,0.0012,-0.0012,0.0001,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Ecuador,,,13,0,0,0,0.0018,-0.0018,0.0001,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Jordan,,,13,0,0,0,0.0064,-0.0064,0.0005,0,0,0,-1,0,0,0,0
Global - CPL POP 4  BADOO (pop),Direct linking,Macedonia,,,13,0,0,0,0.0077,-0.0077,0.0006,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Macedonia,,,13,0,0,0,0.0084,-0.0084,0.0006,0,0,0,-1,0,0,0,0
Global - CPL POP 4  BADOO (pop),Direct linking,Palestine,,,13,0,0,0,0.0026,-0.0026,0.0002,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Bangladesh,,,12,0,0,0,0.007,-0.007,0.0006,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Democratic Republic of the Congo,,,12,0,0,0,0.0057,-0.0057,0.0005,0,0,0,-1,0,0,0,0
Global - CPL POP 4  BADOO (pop),Direct linking,Greenland,,,12,0,0,0,0.0002,-0.0002,0,0,0,0,-1,0,0,0,0
Global - BADOO TOP ROOM,Direct linking,Iceland,,,12,0,0,0,0.008,-0.008,0.0007,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Kyrgyzstan,,,12,0,0,0,0.0061,-0.0061,0.0005,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Sri Lanka,,,12,0,0,0,0.006,-0.006,0.0005,0,0,0,-1,0,0,0,0
Global - BADOO TOP ROOM,Direct linking,Uruguay,,,12,0,0,0,0.0004,-0.0004,0,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Venezuela,,,12,0,0,0,0.0035,-0.0035,0.0003,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Viet Nam,,,12,0,0,0,0.0032,-0.0032,0.0003,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Afghanistan,,,11,0,0,0,0.006,-0.006,0.0005,0,0,0,-1,0,0,0,0
Global - CPL POP 4  BADOO (pop),Direct linking,Australia,,,11,0,0,0,0.0041,-0.0041,0.0004,0,0,0,-1,0,0,0,0
Global - CPL POP 3  BADOO (pop),Direct linking,Syrian Arab Republic,,,11,0,0,0,0.0074,-0.0074,0.0007,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,South Africa,,,11,0,0,0,0.0031,-0.0031,0.0003,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,South Africa,,,11,0,0,0,0.004,-0.004,0.0004,0,0,0,-1,0,0,0,0
Global - BADOO FREE TOKENS,Direct linking,Cyprus,,,10,0,0,0,0.0041,-0.0041,0.0004,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Croatia,,,10,0,0,0,0.0072,-0.0072,0.0007,0,0,0,-1,0,0,0,0
Global - CPL POP 3  BADOO (pop),Direct linking,Monaco,,,10,0,0,0,0.0025,-0.0025,0.0003,0,0,0,-1,0,0,0,0
Global - CPL POP 4  BADOO (pop),Direct linking,Russian Federation,,,10,0,0,0,0.0018,-0.0018,0.0002,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,San Marino,,,10,0,0,0,0.0041,-0.0041,0.0004,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Kazakhstan,,,9,0,0,0,0.0039,-0.0039,0.0004,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Latvia,,,9,0,0,0,0.0039,-0.0039,0.0004,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Seychelles,,,9,0,0,0,0.0064,-0.0064,0.0007,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Samoa,,,9,0,0,0,0.0073,-0.0073,0.0008,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Albania,,,8,0,0,0,0.0035,-0.0035,0.0004,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Estonia,,,8,0,0,0,0.0095,-0.0095,0.0012,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Mali,,,8,0,0,0,0.0046,-0.0046,0.0006,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Réunion,,,8,0,0,0,0.0026,-0.0026,0.0003,0,0,0,-1,0,0,0,0
Global - CPL POP 4  BADOO (pop),Direct linking,Ukraine,,,8,0,0,0,0.0037,-0.0037,0.0005,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Dominican Republic,,,7,0,0,0,0.0022,-0.0022,0.0003,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Egypt,,,7,0,0,0,0.0027,-0.0027,0.0004,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Georgia,,,7,0,0,0,0.0031,-0.0031,0.0004,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Guernsey,,,7,0,0,0,0.0027,-0.0027,0.0004,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Guatemala,,,7,0,0,0,0.0046,-0.0046,0.0007,0,0,0,-1,0,0,0,0
Global - CPL POP 4  BADOO (pop),Direct linking,India,,,7,0,0,0,0.0028,-0.0028,0.0004,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Jersey,,,7,0,0,0,0.0044,-0.0044,0.0006,0,0,0,-1,0,0,0,0
Global - CPL POP 4  BADOO (pop),Direct linking,Jordan,,,7,0,0,0,0.0042,-0.0042,0.0006,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Latvia,,,7,0,0,0,0.0033,-0.0033,0.0005,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Moldova,,,7,0,0,0,0.0008,-0.0008,0.0001,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Nigeria,,,7,0,0,0,0.0048,-0.0048,0.0007,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Peru,,,7,0,0,0,0.0055,-0.0055,0.0008,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,United Arab Emirates,,,6,0,0,0,0.003,-0.003,0.0005,0,0,0,-1,0,0,0,0
Global - CPL POP 3  BADOO (pop),Direct linking,Australia,,,6,0,0,0,0.0035,-0.0035,0.0006,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Equatorial Guinea,,,6,0,0,0,0.005,-0.005,0.0008,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Kazakhstan,,,6,0,0,0,0.0025,-0.0025,0.0004,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Lao People'S Democratic Republic,,,6,0,0,0,0.0069,-0.0069,0.0012,0,0,0,-1,0,0,0,0
Global - BADOO FREE TOKENS,Direct linking,Monaco,,,6,0,0,0,0.002,-0.002,0.0003,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Philippines,,,6,0,0,0,0.0033,-0.0033,0.0006,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Suriname,,,6,0,0,0,0.0027,-0.0027,0.0005,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Taiwan,,,6,0,0,0,0.0039,-0.0039,0.0007,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Samoa,,,6,0,0,0,0.0053,-0.0053,0.0009,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Yemen,,,6,0,0,0,0.0019,-0.0019,0.0003,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Brunei Darussalam,,,5,0,0,0,0.0013,-0.0013,0.0003,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Bolivia,,,5,0,0,0,0.0029,-0.0029,0.0006,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Belarus,,,5,0,0,0,0.0023,-0.0023,0.0005,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Belarus,,,5,0,0,0,0.0018,-0.0018,0.0004,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Colombia,,,5,0,0,0,0.004,-0.004,0.0008,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Colombia,,,5,0,0,0,0.0021,-0.0021,0.0004,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Costa Rica,,,5,0,0,0,0.0006,-0.0006,0.0001,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Cape Verde,,,5,0,0,0,0.003,-0.003,0.0006,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Kenya,,,5,0,0,0,0.0045,-0.0045,0.0009,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Lao People'S Democratic Republic,,,5,0,0,0,0.0033,-0.0033,0.0007,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Mauritius,,,5,0,0,0,0.0024,-0.0024,0.0005,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Nicaragua,,,5,0,0,0,0.003,-0.003,0.0006,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Tonga,,,5,0,0,0,0.0024,-0.0024,0.0005,0,0,0,-1,0,0,0,0
Global - BADOO FREE TOKENS,Direct linking,Uruguay,,,5,0,0,0,0.0002,-0.0002,0,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Antigua And Barbuda,,,4,0,0,0,0.002,-0.002,0.0005,0,0,0,-1,0,0,0,0
Global - CPL POP 3  BADOO (pop),Direct linking,Argentina,,,4,0,0,0,0.0004,-0.0004,0.0001,0,0,0,-1,0,0,0,0
Global - CPL POP 3  BADOO (pop),Direct linking,Belgium,,,4,0,0,0,0.0021,-0.0021,0.0005,0,0,0,-1,0,0,0,0
Global - CPL POP 4  BADOO (pop),Direct linking,Belgium,,,4,0,0,0,0.0018,-0.0018,0.0005,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Bahrain,,,4,0,0,0,0.003,-0.003,0.0007,0,0,0,-1,0,0,0,0
Global - CPL POP 3  BADOO (pop),Direct linking,Ecuador,,,4,0,0,0,0.0003,-0.0003,0.0001,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Equatorial Guinea,,,4,0,0,0,0.0016,-0.0016,0.0004,0,0,0,-1,0,0,0,0
Global - CPL POP 4  BADOO (pop),Direct linking,Hong Kong,,,4,0,0,0,0.0023,-0.0023,0.0006,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Kyrgyzstan,,,4,0,0,0,0.0019,-0.0019,0.0005,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,North Korea,,,4,0,0,0,0.0027,-0.0027,0.0007,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Lebanon,,,4,0,0,0,0.0023,-0.0023,0.0006,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Liechtenstein,,,4,0,0,0,0.0022,-0.0022,0.0006,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Moldova,,,4,0,0,0,0.0018,-0.0018,0.0005,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Mali,,,4,0,0,0,0.0027,-0.0027,0.0007,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Mexico,,,4,0,0,0,0.0006,-0.0006,0.0001,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Oman,,,4,0,0,0,0.0023,-0.0023,0.0006,0,0,0,-1,0,0,0,0
Global - CPL POP 4  BADOO (pop),Direct linking,Singapore,,,4,0,0,0,0.0025,-0.0025,0.0006,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Suriname,,,4,0,0,0,0.0009,-0.0009,0.0002,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Uzbekistan,,,4,0,0,0,0.0009,-0.0009,0.0002,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Venezuela,,,4,0,0,0,0.001,-0.001,0.0002,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Yemen,,,4,0,0,0,0.0025,-0.0025,0.0006,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Zimbabwe,,,4,0,0,0,0.0024,-0.0024,0.0006,0,0,0,-1,0,0,0,0
Global - CPL POP 3  BADOO (pop),Direct linking,United Arab Emirates,,,3,0,0,0,0.0017,-0.0017,0.0006,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Albania,,,3,0,0,0,0.0018,-0.0018,0.0006,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Bosnia And Herzegovina,,,3,0,0,0,0.0021,-0.0021,0.0007,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Bangladesh,,,3,0,0,0,0.0012,-0.0012,0.0004,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Bolivia,,,3,0,0,0,0.0008,-0.0008,0.0003,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Cape Verde,,,3,0,0,0,0.0012,-0.0012,0.0004,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Ethiopia,,,3,0,0,0,0.0016,-0.0016,0.0005,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Georgia,,,3,0,0,0,0.0006,-0.0006,0.0002,0,0,0,-1,0,0,0,0
Global - CPL POP 3  BADOO (pop),Direct linking,Greenland,,,3,0,0,0,0.0002,-0.0002,0.0001,0,0,0,-1,0,0,0,0
Global - CPL POP 4  BADOO (pop),Direct linking,Guatemala,,,3,0,0,0,0.0001,-0.0001,0,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Guatemala,,,3,0,0,0,0.0003,-0.0003,0.0001,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Honduras,,,3,0,0,0,0.0014,-0.0014,0.0005,0,0,0,-1,0,0,0,0
Global - CPL POP 4  BADOO (pop),Direct linking,Croatia,,,3,0,0,0,0.0002,-0.0002,0.0001,0,0,0,-1,0,0,0,0
Global - CPL POP 4  BADOO (pop),Direct linking,Japan,,,3,0,0,0,0.0012,-0.0012,0.0004,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Kenya,,,3,0,0,0,0.0028,-0.0028,0.0009,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Cambodia,,,3,0,0,0,0.0002,-0.0002,0.0001,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO,Direct linking,Kuwait,,,3,0,0,0,0.0018,-0.0018,0.0006,0,0,0,-1,0,0,0,0
Global - CPL POP 3  BADOO (pop),Direct linking,Sri Lanka,,,3,0,0,0,0.0005,-0.0005,0.0002,0,0,0,-1,0,0,0,0
Global - BADOO Land variation,Direct linking,Monaco,,,3,0,0,0,0.0004,-0.0004,0.0001,0,0,0,-1,0,0,0,0
Global - BADOO TOP ROOM,Direct linking,Monaco,,,3,0,0,0,0.0003,-0.0003,0.0001,0,0,0,-1,0,0,0,0
Global - CPL SMARTLINK BADOO (INDEX),Direct linking,Madagascar,,,3,0,0,0,0.0025,-0.0025,0.0008,0,0,0,-1,0,0,0,0
